"profileID","respID","qID","altID","obsID","tired","walking","sports","concentration","embarrassed","unhappiness","treated"
"1352215",1,1,1,1,"never","sometimes","always","almost never","almost never","never","always"
"1111222",1,2,1,2,"never","never","never","never","almost never","almost never","almost never"
"5241154",1,3,1,3,"always","almost never","often","never","never","always","often"
"1543543",1,4,1,4,"never","always","often","sometimes","always","often","sometimes"
"3142253",1,5,1,5,"sometimes","never","often","almost never","almost never","always","sometimes"
"4321135",1,6,1,6,"often","sometimes","almost never","never","never","sometimes","always"
"2413321",1,7,1,7,"almost never","often","never","sometimes","sometimes","almost never","never"
"4512531",1,8,1,8,"often","always","never","almost never","always","sometimes","never"
"4321135",2,1,1,9,"often","sometimes","almost never","never","never","sometimes","always"
"1425154",2,2,1,10,"never","often","almost never","always","never","always","often"
"2222444",2,3,1,11,"almost never","almost never","almost never","almost never","often","often","often"
"5123215",2,4,1,12,"always","never","almost never","sometimes","almost never","never","always"
"3142512",2,5,1,13,"sometimes","never","often","almost never","always","never","almost never"
"2222444",2,6,1,14,"almost never","almost never","almost never","almost never","often","often","often"
"3333555",2,7,1,15,"sometimes","sometimes","sometimes","sometimes","always","always","always"
"2531524",2,8,1,16,"almost never","always","sometimes","never","always","almost never","often"
"4253241",3,1,1,17,"often","almost never","always","sometimes","almost never","often","never"
"5241413",3,2,1,18,"always","almost never","often","never","often","never","sometimes"
"1425413",3,3,1,19,"never","often","almost never","always","often","never","sometimes"
"5432241",3,4,1,20,"always","often","sometimes","almost never","almost never","often","never"
"3524123",3,5,1,21,"sometimes","always","almost never","often","never","almost never","sometimes"
"1425531",3,6,1,22,"never","often","almost never","always","always","sometimes","never"
"5555333",3,7,1,23,"always","always","always","always","sometimes","sometimes","sometimes"
"5432314",3,8,1,24,"always","often","sometimes","almost never","sometimes","never","often"
"2345314",4,1,1,25,"almost never","sometimes","often","always","sometimes","never","often"
"1352142",4,2,1,26,"never","sometimes","always","almost never","never","often","almost never"
"2345432",4,3,1,27,"almost never","sometimes","often","always","often","sometimes","almost never"
"2345314",4,4,1,28,"almost never","sometimes","often","always","sometimes","never","often"
"5432432",4,5,1,29,"always","often","sometimes","almost never","often","sometimes","almost never"
"2413321",4,6,1,30,"almost never","often","never","sometimes","sometimes","almost never","never"
"3333444",4,7,1,31,"sometimes","sometimes","sometimes","sometimes","often","often","often"
"3333111",4,8,1,32,"sometimes","sometimes","sometimes","sometimes","never","never","never"
"1352215",5,1,1,33,"never","sometimes","always","almost never","almost never","never","always"
"3333555",5,2,1,34,"sometimes","sometimes","sometimes","sometimes","always","always","always"
"4321512",5,3,1,35,"often","sometimes","almost never","never","always","never","almost never"
"1352215",5,4,1,36,"never","sometimes","always","almost never","almost never","never","always"
"2413253",5,5,1,37,"almost never","often","never","sometimes","almost never","always","sometimes"
"4321512",5,6,1,38,"often","sometimes","almost never","never","always","never","almost never"
"5555222",5,7,1,39,"always","always","always","always","almost never","almost never","almost never"
"4512531",5,8,1,40,"often","always","never","almost never","always","sometimes","never"
"4135234",6,1,1,41,"often","never","sometimes","always","almost never","sometimes","often"
"4253241",6,2,1,42,"often","almost never","always","sometimes","almost never","often","never"
"4512413",6,3,1,43,"often","always","never","almost never","often","never","sometimes"
"4253241",6,4,1,44,"often","almost never","always","sometimes","almost never","often","never"
"3142253",6,5,1,45,"sometimes","never","often","almost never","almost never","always","sometimes"
